update_time,Nhiệt độ,Thời tiết,Độ ẩm,Hướng gió,location_id,location,scrape_timestamp
13h  25/01/2026,17°C,"Nhiều mây, không mưa",88.0,Gió bắc đông bắc - tốc độ: 1 m/s,2,Thời tiết Hòa Bình (Phú Thọ),20260125_074744
13h  25/01/2026,23°C,"Ít mây, trời nắng",74.0,Gió đông bắc - tốc độ: 2 m/s,3,Thời tiết Trường Vinh (Nghệ An),20260125_074744
13h  25/01/2026,23°C,"Ít mây, trời nắng",75.0,Gió bắc đông bắc - tốc độ: 1 m/s,4,Thời tiết Thành Sen (Hà Tĩnh),20260125_074744
13h  25/01/2026,24°C,"Nhiều mây, không mưa",73.0,Gió đông đông nam - tốc độ: 2 m/s,5,Thời tiết Đồng Hới (Quảng Trị),20260125_074744
13h  25/01/2026,25°C,"Nhiều mây, không mưa",66.0,Gió đông đông bắc - tốc độ: 4 m/s,6,Thời tiết Quảng Trị (Quảng Trị),20260125_074744
13h  25/01/2026,25°C,"Nhiều mây, không mưa",67.0,Gió đông - tốc độ: 3 m/s,7,Thời tiết Thuận Hóa (Tp Huế),20260125_074744
13h  25/01/2026,26°C,"Nhiều mây, không mưa",65.0,Gió đông đông bắc - tốc độ: 3 m/s,8,Thời tiết Cẩm Thành (Quảng Ngãi),20260125_074744
13h  25/01/2026,26°C,"Nhiều mây, không mưa",65.0,Gió đông đông bắc - tốc độ: 4 m/s,9,Thời tiết Nha Trang (Khánh Hòa),20260125_074744
13h  25/01/2026,27°C,"Mây thay đổi, trời nắng",67.0,Gió nam đông nam - tốc độ: 7 m/s,10,Thời tiết Phan Thiết (Lâm Đồng),20260125_074744
13h  25/01/2026,27°C,"Mây thay đổi, trời nắng",43.0,Gió đông nam - tốc độ: 2 m/s,11,Thời tiết Kon Tum (Quảng Ngãi),20260125_074744
13h  25/01/2026,26°C,"Nhiều mây, không mưa",43.0,Gió đông đông nam - tốc độ: 2 m/s,12,Thời tiết Pleiku (Gia Lai),20260125_074744
13h  25/01/2026,26°C,"Mây thay đổi, trời nắng",46.0,Gió đông bắc - tốc độ: 2 m/s,13,Thời tiết Buôn Ma Thuột (Đắk Lắk),20260125_074744
13h  25/01/2026,21°C,"Mây thay đổi, trời nắng",48.0,Gió bắc đông bắc - tốc độ: 1 m/s,14,Thời tiết Xuân Hương - Đà Lạt  (Lâm Đồng),20260125_074744
13h  25/01/2026,30°C,"Ít mây, trời nắng",57.0,Gió đông - tốc độ: 2 m/s,15,Thời tiết Sài Gòn (Tp Hồ Chí Minh),20260125_074744
13h  25/01/2026,31°C,"Ít mây, trời nắng",49.0,Lặng gió,16,Thời tiết Bình Dương (Tp Hồ Chí Minh),20260125_074744
13h  25/01/2026,19°C,"Nhiều mây, không mưa",80.0,Gió bắc đông bắc - tốc độ: 1 m/s,17,Thời tiết Hoa Lư (Ninh Bình),20260125_074744
13h  25/01/2026,18°C,"Nhiều mây, không mưa",95.0,Gió bắc tây bắc - tốc độ: 1 m/s,18,Thời tiết Thái Bình (Hưng Yên),20260125_074744
13h  25/01/2026,17°C,"Nhiều mây, không mưa",97.0,Gió tây tây bắc - tốc độ: 2 m/s,19,Thời tiết Hải Dương (Tp Hải Phòng),20260125_074744
13h  25/01/2026,17°C,"Nhiều mây, không mưa",84.0,Lặng gió,20,Thời tiết Phủ Lý (Ninh Bình),20260125_074744
13h  25/01/2026,29°C,"Nhiều mây, không mưa",66.0,Gió nam - tốc độ: 1 m/s,21,Thời tiết Long An (Tây Ninh),20260125_074744
13h  25/01/2026,30°C,"Nhiều mây, không mưa",51.0,Gió đông đông bắc - tốc độ: 2 m/s,22,Thời tiết Cao Lãnh (Đồng Tháp),20260125_074744
13h  25/01/2026,29°C,"Mây thay đổi, trời nắng",61.0,Gió nam đông nam - tốc độ: 3 m/s,23,Thời tiết Mỹ Tho (Đồng Tháp),20260125_074744
13h  25/01/2026,28°C,"Mây thay đổi, trời nắng",63.0,Gió đông nam - tốc độ: 2 m/s,24,Thời tiết Bến Tre (Vĩnh Long),20260125_074744
