update_time,Nhiệt độ,Thời tiết,Độ ẩm,Hướng gió,location_id,location
19h  27/01/2026,20°C,Đêm nhiều mây,87,Lặng gió,2,Thời tiết Hòa Bình (Phú Thọ)
19h  27/01/2026,20°C,Đêm có mây,92,Gió đông - tốc độ: 1 m/s,3,Thời tiết Trường Vinh (Nghệ An)
19h  27/01/2026,21°C,Đêm có mây,90,Gió đông bắc - tốc độ: 1 m/s,4,Thời tiết Thành Sen (Hà Tĩnh)
19h  27/01/2026,22°C,Đêm nhiều mây,94,Gió bắc - tốc độ: 2 m/s,5,Thời tiết Đồng Hới (Quảng Trị)
19h  27/01/2026,21°C,Đêm nhiều mây,91,Lặng gió,6,Thời tiết Quảng Trị (Quảng Trị)
19h  27/01/2026,20°C,"Nhiều mây, không mưa",92,Lặng gió,7,Thời tiết Thuận Hóa (Tp Huế)
19h  27/01/2026,22°C,"Nhiều mây, không mưa",85,Gió bắc - tốc độ: 1 m/s,8,Thời tiết Cẩm Thành (Quảng Ngãi)
19h  27/01/2026,25°C,Đêm nhiều mây,70,Gió bắc đông bắc - tốc độ: 2 m/s,9,Thời tiết Nha Trang (Khánh Hòa)
19h  27/01/2026,24°C,Đêm nhiều mây,83,Gió đông đông nam - tốc độ: 8 m/s,10,Thời tiết Phan Thiết (Lâm Đồng)
19h  27/01/2026,21°C,Đêm nhiều mây,68,Gió đông - tốc độ: 2 m/s,11,Thời tiết Kon Tum (Quảng Ngãi)
19h  27/01/2026,19°C,Đêm có mây,73,Gió đông bắc - tốc độ: 1 m/s,12,Thời tiết Pleiku (Gia Lai)
19h  27/01/2026,22°C,Đêm nhiều mây,77,Gió đông - tốc độ: 5 m/s,13,Thời tiết Buôn Ma Thuột (Đắk Lắk)
19h  27/01/2026,18°C,Đêm nhiều mây,76,Gió đông bắc - tốc độ: 1 m/s,14,Thời tiết Xuân Hương - Đà Lạt  (Lâm Đồng)
19h  27/01/2026,26°C,Đêm có mây,78,Gió nam - tốc độ: 2 m/s,15,Thời tiết Sài Gòn (Tp Hồ Chí Minh)
19h  27/01/2026,28°C,Đêm có mây,66,Gió nam đông nam - tốc độ: 2 m/s,16,Thời tiết Bình Dương (Tp Hồ Chí Minh)
19h  27/01/2026,20°C,Đêm có mây,85,Lặng gió,17,Thời tiết Hoa Lư (Ninh Bình)
19h  27/01/2026,20°C,Đêm có mây,87,Lặng gió,18,Thời tiết Thái Bình (Hưng Yên)
19h  27/01/2026,21°C,Đêm nhiều mây,86,Gió đông nam - tốc độ: 2 m/s,19,Thời tiết Hải Dương (Tp Hải Phòng)
19h  27/01/2026,21°C,Đêm nhiều mây,81,Lặng gió,20,Thời tiết Phủ Lý (Ninh Bình)
19h  27/01/2026,26°C,Đêm nhiều mây,82,Lặng gió,21,Thời tiết Long An (Tây Ninh)
19h  27/01/2026,28°C,Đêm nhiều mây,57,Lặng gió,22,Thời tiết Cao Lãnh (Đồng Tháp)
19h  27/01/2026,25°C,Đêm nhiều mây,72,Gió đông đông nam - tốc độ: 2 m/s,23,Thời tiết Mỹ Tho (Đồng Tháp)
19h  27/01/2026,24°C,Đêm nhiều mây,81,Gió đông nam - tốc độ: 2 m/s,24,Thời tiết Bến Tre (Vĩnh Long)
19h  27/01/2026,25°C,Đêm nhiều mây,76,Lặng gió,25,Thời tiết Trà Vinh (Vĩnh Long)
19h  27/01/2026,28°C,Đêm có mây,66,Gió đông nam - tốc độ: 2 m/s,26,Thời tiết Ninh Kiều (Tp Cần Thơ)
19h  27/01/2026,26°C,Đêm nhiều mây,77,Gió đông đông nam - tốc độ: 1 m/s,27,Thời tiết Sóc Trăng (Tp Cần Thơ)
19h  27/01/2026,21°C,Đêm nhiều mây,83,Lặng gió,28,Thời tiết Hoàn Kiếm (Tp Hà Nội)
19h  27/01/2026,25°C,Đêm nhiều mây,73,Gió đông - tốc độ: 2 m/s,29,Thời tiết Bạc Liêu (Cà Mau)
19h  27/01/2026,26°C,Đêm có mây,54,Lặng gió,30,Thời tiết Phước Long (Đồng Nai)
19h  27/01/2026,25°C,Đêm nhiều mây,78,Gió đông - tốc độ: 3 m/s,31,Thời tiết Vũng Tàu (Tp Hồ Chí Minh)
19h  27/01/2026,27°C,Đêm nhiều mây,64,Gió nam - tốc độ: 2 m/s,32,Thời tiết Biên Hòa (Đồng Nai)
19h  27/01/2026,20°C,Đêm nhiều mây,80,Lặng gió,33,Thời tiết Phố Hiến (Hưng Yên)
19h  27/01/2026,20°C,Đêm có mây,83,Lặng gió,34,Thời tiết Nam Định (Ninh Bình)
19h  27/01/2026,28°C,Đêm nhiều mây,58,Lặng gió,35,Thời tiết Tây Ninh (Tây Ninh)
19h  27/01/2026,19°C,Đêm nhiều mây,88,Lặng gió,36,Thời tiết Hà Giang (Tuyên Quang)
19h  27/01/2026,21°C,Đêm nhiều mây,77,Gió nam - tốc độ: 3 m/s,37,Thời tiết Lào Cai (Lào Cai)
19h  27/01/2026,22°C,Đêm có mây,73,Gió tây bắc - tốc độ: 1 m/s,38,Thời tiết Mường Thanh (Điện Biên)
19h  27/01/2026,23°C,Đêm nhiều mây,62,Lặng gió,39,Thời tiết Bắc Gia Nghĩa (Lâm Đồng)
,°C,,,,40,Thời tiết Vị Thanh (Tp Cần Thơ)
19h  27/01/2026,28°C,Đêm nhiều mây,66,Gió bắc đông bắc - tốc độ: 1 m/s,41,Thời tiết Rạch Giá (An Giang)
19h  27/01/2026,27°C,Đêm nhiều mây,65,Gió tây nam - tốc độ: 1 m/s,42,Thời tiết Tân Thành (Cà Mau)
19h  27/01/2026,20°C,Đêm nhiều mây,79,Lặng gió,43,Thời tiết Việt Trì (Phú Thọ)
19h  27/01/2026,20°C,Đêm nhiều mây,80,Lặng gió,44,Thời tiết Vĩnh Phúc (Phú Thọ)
19h  27/01/2026,20°C,Đêm có mây,72,Gió nam - tốc độ: 2 m/s,45,Thời tiết Tô Hiệu (Sơn La)
19h  27/01/2026,22°C,Đêm nhiều mây,76,Lặng gió,46,Thời tiết Bắc Giang (Bắc Ninh)
19h  27/01/2026,21°C,Đêm nhiều mây,77,Lặng gió,47,Thời tiết Kinh Bắc (Bắc Ninh)
19h  27/01/2026,17°C,Đêm nhiều mây,83,Lặng gió,48,Thời tiết Lương Văn Tri (Lạng Sơn)
19h  27/01/2026,17°C,Đêm nhiều mây,89,Gió đông - tốc độ: 1 m/s,49,Thời tiết Thục Phán (Cao Bằng)
19h  27/01/2026,20°C,Đêm nhiều mây,89,Lặng gió,50,Thời tiết Minh Xuân (Tuyên Quang)
19h  27/01/2026,21°C,Đêm nhiều mây,79,Gió đông nam - tốc độ: 1 m/s,51,Thời tiết Phan Đình Phùng (Thái Nguyên)
19h  27/01/2026,19°C,Đêm nhiều mây,85,Lặng gió,52,Thời tiết Bắc Kạn (Thái Nguyên)
19h  27/01/2026,19°C,"Nhiều mây, không mưa",95,Lặng gió,53,Thời tiết Yên Bái (Lào Cai)
19h  27/01/2026,18°C,Đêm có mây,87,Gió đông nam - tốc độ: 2 m/s,54,Thời tiết Lê Chân (Tp Hải Phòng)
19h  27/01/2026,23°C,Đêm nhiều mây,85,Lặng gió,55,Thời tiết Hải Châu (Tp Đà Nẵng)
19h  27/01/2026,24°C,Đêm nhiều mây,79,Lặng gió,56,Thời tiết Quy Nhơn (Gia Lai)
19h  27/01/2026,27°C,Đêm nhiều mây,62,Gió nam đông nam - tốc độ: 2 m/s,57,Thời tiết Long Châu (Vĩnh Long)
19h  27/01/2026,28°C,Đêm nhiều mây,74,Lặng gió,58,Thời tiết Long Xuyên (An Giang)
19h  27/01/2026,24°C,Đêm nhiều mây,79,Gió bắc - tốc độ: 2 m/s,59,Thời tiết Tuy Hòa (Đắk Lắk)
19h  27/01/2026,24°C,Đêm nhiều mây,72,Gió đông đông bắc - tốc độ: 4 m/s,60,Thời tiết Phan Rang (Khánh Hòa)
19h  27/01/2026,20°C,Đêm có mây,84,Gió đông - tốc độ: 1 m/s,61,Thời tiết Hạc Thành (Thanh Hóa)
19h  27/01/2026,21°C,Đêm nhiều mây,96,Gió tây tây nam - tốc độ: 1 m/s,62,Thời tiết Tam Kỳ (Tp Đà Nẵng)
19h  27/01/2026,19°C,Đêm nhiều mây,87,Gió nam - tốc độ: 2 m/s,63,Thời tiết Hạ Long (Quảng Ninh)
19h  27/01/2026,19°C,Đêm có mây,72,Gió đông nam - tốc độ: 2 m/s,64,Thời tiết Tân Phong (Lai Châu)
